feature_name,feat_w_ela_net_coeff
"117,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",-0.0028025270146907555
"40,CAIRO_PML_TARGETS_BOUND_BY_MYC_DN",-0.0041174897638407626
"88,NUTT_GBM_VS_AO_GLIOMA_UP",-0.007449974031647551
"67,DIRMEIER_LMP1_RESPONSE_LATE_DN",-0.01527240876235558
"38,NIKOLSKY_BREAST_CANCER_16P13_AMPLICON",-0.016153971512874156
"45,GNATENKO_PLATELET_SIGNATURE",-0.020446363727335732
"103,REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.029822581440802017
"9,GNATENKO_PLATELET_SIGNATURE",-0.032762995855255786
"80,BROWNE_INTERFERON_RESPONSIVE_GENES",-0.04538401314488414
"11,VANDESLUIS_NORMAL_EMBRYOS_DN",-0.05464025768668218
"50,MIPS_RIBOSOME_CYTOPLASMIC",-0.05581749508858157
"44,ZHANG_INTERFERON_RESPONSE",-0.058720512201935124
"17,MIPS_RIBOSOME_CYTOPLASMIC",-0.06398429029021135
"8,GRANDVAUX_IRF3_TARGETS_UP",-0.06946554680739589
"60,GNATENKO_PLATELET_SIGNATURE",-0.09160007953226247
"59,NAKAJIMA_EOSINOPHIL",-0.09710493940488522
"27,ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP",-0.0971161552264732
"57,KIM_GASTRIC_CANCER_CHEMOSENSITIVITY",-0.10789938473194143
"2,BRACHAT_RESPONSE_TO_METHOTREXATE_DN",-0.11388215981725106
"87,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",-0.11416735636556362
"71,GRAHAM_CML_DIVIDING_VS_NORMAL_DIVIDING_UP",-0.11733184224174008
"62,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",-0.11898807209486184
"116,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",-0.12082743625946278
"68,TIEN_INTESTINE_PROBIOTICS_6HR_UP",-0.1352904305442431
"102,KEGG_RIBOSOME",-0.14140984607360385
"109,BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX",-0.14166061118040638
"78,MIPS_RIBOSOME_CYTOPLASMIC",-0.1438111098645572
"47,RICKMAN_HEAD_AND_NECK_CANCER_D",-0.1643271144057418
"105,OUYANG_PROSTATE_CANCER_PROGRESSION_UP",-0.20999308481238882
"15,HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN",-0.21217177997324702
"64,VANASSE_BCL2_TARGETS_UP",-0.21396510239738073
"111,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",-0.21545019755031844
"76,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",-0.21695398063055227
"33,MIPS_40S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC",-0.24021067695549395
"114,JAATINEN_HEMATOPOIETIC_STEM_CELL_DN",-0.2777292227898268
"77,xCell:NK cells_NOVERSHTERN_3",-0.3000025081167902
"66,BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES",-0.3096695035015054
"58,GRADE_METASTASIS_DN",-0.34052491723631795
"25,REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.35630175054029445
"10,GSE6269_HEALTHY_VS_FLU_INF_PBMC_DN",-0.3590620681541421
"91,GAVIN_FOXP3_TARGETS_CLUSTER_T7",-0.3596800331677955
"81,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",-0.36129180432117297
"100,BASSO_CD40_SIGNALING_DN",-0.36609240805756255
"43,BAKER_HEMATOPOIESIS_STAT3_TARGETS",-0.3761611452906441
"94,MMS_MOUSE_LYMPH_HIGH_4HRS_UP",-0.37652212105361416
"1,REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.38770195249503003
"108,LUI_TARGETS_OF_PAX8_PPARG_FUSION",-0.39022842579338507
"113,AMIT_SERUM_RESPONSE_40_MCF10A",-0.39369201944760107
"83,GREENBAUM_E2A_TARGETS_DN",-0.4406098190423153
"49,BRACHAT_RESPONSE_TO_CISPLATIN",-0.4593557913664812
"22,CHOI_ATL_STAGE_PREDICTOR",-0.4682965411815019
"52,GERHOLD_RESPONSE_TO_TZD_DN",-0.4972799311655956
"16,REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX",-0.49825614298396903
"112,AMIT_SERUM_RESPONSE_40_MCF10A",-0.5086565145159834
"86,REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.5184983753547304
"34,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN",-0.5683980812714954
"84,GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN",-0.6148045996601013
"56,LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_QTL",-0.6210849092988696
"28,REACTOME_PEPTIDE_CHAIN_ELONGATION",-0.6464689029878777
"65,ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP",-0.653705141190464
"35,WU_HBX_TARGETS_1_UP",-0.6579819038341955
